Company,Location,Seats,Price
Company A,HITEC City,180,8500
Company B,Gachibowli,220,9500
Company C,Madhapur,150,7800
Company D,Kondapur,120,7000
Company E,Banjara Hills,90,10000
Company F,Jubilee Hills,110,10500
Company G,HITEC City,250,9200
Company H,Gachibowli,170,8800
Company I,Madhapur,140,7600
Company J,Kondapur,130,7200
Company K,Begumpet,100,6200
Company L,Ameerpet,80,6200
Company M,HITEC City,300,11000
Company N,Gachibowli,260,9800
Company O,Madhapur,190,8100
Company P,Kondapur,150,7400
Company Q,Banjara Hills,120,10800
Company R,Jubilee Hills,140,11200
Company S,Begumpet,95,6500
Company T,Ameerpet,75,6000
Company U,HITEC City,210,8900
Company V,Gachibowli,240,9700
Company W,Madhapur,170,7900
Company X,Kondapur,160,7600
Company Y,Banjara Hills,130,10200
Company Z,Jubilee Hills,150,11500
Company AA,Begumpet,105,6900
Company AB,Ameerpet,85,6300
Company AC,HITEC City,280,10800
Company AD,Gachibowli,290,10300
